model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",168000,193000,3000,False,seqs,3.3357e-05),0.0321%,0.0090%,50.5469%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",171000,196000,3000,False,seqs,3.7793e-05),0.0142%,0.0067%,48.3203%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",174000,199000,3000,False,seqs,3.4515e-05),0.0215%,0.0260%,67.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",177000,202000,3000,False,seqs,3.4536e-05),0.0640%,0.0657%,61.9922%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",180000,205000,3000,False,seqs,5.6337e-05),0.0484%,0.0267%,52.5391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",183000,208000,3000,False,seqs,7.2465e-05),0.2884%,0.0112%,54.6875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",186000,211000,3000,False,seqs,7.1062e-05),0.0217%,0.0315%,79.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",189000,214000,3000,False,seqs,7.6158e-05),0.3097%,0.0117%,47.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",192000,217000,3000,False,seqs,8.7444e-05),0.0216%,0.0214%,61.3281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",195000,220000,3000,False,seqs,8.9946e-05),0.0401%,0.0529%,64.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",198000,223000,3000,False,seqs,8.0640e-05),0.0506%,0.0512%,51.5625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",201000,226000,3000,False,seqs,1.0093e-04),0.0490%,0.0244%,46.5234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",204000,229000,3000,False,seqs,8.0660e-05),0.0136%,0.0143%,60.0000%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",207000,232000,3000,False,seqs,6.2929e-05),0.0128%,0.0080%,51.9141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",210000,235000,3000,False,seqs,7.1048e-05),0.0434%,0.0319%,51.8359%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",213000,238000,3000,False,seqs,6.6173e-05),0.3606%,0.0340%,50.3516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",216000,241000,3000,False,seqs,7.3681e-05),0.0671%,0.0620%,55.1953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",219000,244000,3000,False,seqs,7.3649e-05),0.0246%,0.0341%,73.5937%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",222000,247000,3000,False,seqs,1.0495e-04),0.0522%,0.0514%,53.9062%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",225000,250000,3000,False,seqs,7.9705e-05),0.0329%,0.0377%,63.2031%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",228000,253000,3000,False,seqs,8.3258e-05),0.0421%,0.0220%,48.9453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",231000,256000,3000,False,seqs,9.7323e-05),0.0901%,0.0373%,49.2969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",234000,259000,3000,False,seqs,8.4489e-05),0.0356%,0.0441%,69.8438%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",237000,262000,3000,False,seqs,1.0699e-04),0.0420%,0.0367%,52.6563%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",240000,265000,3000,False,seqs,1.0871e-04),0.0513%,0.0443%,50.7812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",243000,268000,3000,False,seqs,1.0187e-04),0.0241%,0.0280%,56.6016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",246000,271000,3000,False,seqs,8.9419e-05),0.0349%,0.0302%,53.4375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",249000,274000,3000,False,seqs,9.6192e-05),0.1170%,0.0727%,50.4687%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",252000,277000,3000,False,seqs,1.0732e-04),1.2000%,0.0317%,51.7969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",255000,280000,3000,False,seqs,1.0504e-04),0.2805%,0.0201%,47.5781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",258000,283000,3000,False,seqs,1.1092e-04),0.0462%,0.0351%,52.8906%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",261000,286000,3000,False,seqs,9.1018e-05),0.0509%,0.0323%,52.0703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",264000,289000,3000,False,seqs,8.2573e-05),0.1367%,0.0334%,51.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",267000,292000,3000,False,seqs,9.9554e-05),0.1776%,0.0512%,48.9453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",270000,295000,3000,False,seqs,8.7558e-05),0.5110%,0.0527%,47.6953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",273000,298000,3000,False,seqs,9.9398e-05),0.0509%,0.0644%,66.4844%
