model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",129000,154000,3000,False,seqs,6.7310e-04),0.0194%,0.0097%,46.3672%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",132000,157000,3000,False,seqs,8.0431e-04),0.1009%,0.0372%,41.7188%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",135000,160000,3000,False,seqs,5.2750e-04),0.0345%,0.0119%,47.0703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",138000,163000,3000,False,seqs,7.1790e-04),0.0361%,0.0050%,59.5703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",141000,166000,3000,False,seqs,6.8909e-04),0.0367%,0.0142%,54.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",144000,169000,3000,False,seqs,6.4242e-04),0.0346%,0.0105%,57.3828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",147000,172000,3000,False,seqs,7.3717e-04),0.0919%,0.0057%,56.9922%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",150000,175000,3000,False,seqs,6.2122e-04),0.0118%,0.0046%,53.4766%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",153000,178000,3000,False,seqs,5.7135e-04),0.0175%,0.0077%,58.3984%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",156000,181000,3000,False,seqs,5.6348e-04),0.0275%,0.0156%,63.8281%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",159000,184000,3000,False,seqs,3.7568e-04),0.0288%,0.0244%,61.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",162000,187000,3000,False,seqs,5.4309e-04),0.0344%,0.0139%,50.5859%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",165000,190000,3000,False,seqs,4.5018e-04),0.0157%,0.0093%,51.5234%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",168000,193000,3000,False,seqs,5.1011e-04),0.0109%,0.0090%,55.8594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",171000,196000,3000,False,seqs,4.4923e-04),0.0125%,0.0067%,59.8828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",174000,199000,3000,False,seqs,5.2833e-04),0.0277%,0.0260%,56.3672%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",177000,202000,3000,False,seqs,4.4212e-04),0.0776%,0.0657%,40.6641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",180000,205000,3000,False,seqs,4.6106e-04),0.0543%,0.0267%,43.5547%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",183000,208000,3000,False,seqs,7.6292e-04),0.0807%,0.0112%,46.4063%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",186000,211000,3000,False,seqs,7.5160e-04),0.0458%,0.0315%,45.0781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",189000,214000,3000,False,seqs,6.8880e-04),0.0239%,0.0117%,47.8516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",192000,217000,3000,False,seqs,9.2936e-04),0.0359%,0.0214%,44.6094%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",195000,220000,3000,False,seqs,8.7822e-04),0.0696%,0.0529%,46.3672%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",198000,223000,3000,False,seqs,9.4074e-04),0.0924%,0.0512%,51.4844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",201000,226000,3000,False,seqs,1.0464e-03),0.0461%,0.0244%,42.7734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",204000,229000,3000,False,seqs,1.1028e-03),0.0463%,0.0143%,48.7891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",207000,232000,3000,False,seqs,6.7624e-04),0.0202%,0.0080%,45.7812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",210000,235000,3000,False,seqs,6.3680e-04),0.0442%,0.0319%,42.1484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",213000,238000,3000,False,seqs,7.5217e-04),0.0528%,0.0340%,36.2109%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",216000,241000,3000,False,seqs,5.3185e-04),0.0800%,0.0620%,43.7891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",219000,244000,3000,False,seqs,6.3688e-04),0.0540%,0.0341%,42.2266%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",222000,247000,3000,False,seqs,7.0163e-04),0.0630%,0.0514%,38.2812%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",225000,250000,3000,False,seqs,4.5615e-04),0.0613%,0.0377%,36.2500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",228000,253000,3000,False,seqs,4.5140e-04),0.0338%,0.0220%,43.8672%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",231000,256000,3000,False,seqs,5.6281e-04),0.0739%,0.0373%,43.2813%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",234000,259000,3000,False,seqs,7.2713e-04),0.1114%,0.0441%,46.0156%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",237000,262000,3000,False,seqs,6.5957e-04),0.0433%,0.0367%,55.2344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",240000,265000,3000,False,seqs,5.1321e-04),0.0581%,0.0443%,40.7031%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",243000,268000,3000,False,seqs,5.0516e-04),0.0403%,0.0280%,42.0312%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",246000,271000,3000,False,seqs,5.4817e-04),0.0458%,0.0302%,39.7656%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",249000,274000,3000,False,seqs,5.1807e-04),0.0914%,0.0727%,48.9844%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",252000,277000,3000,False,seqs,6.2211e-04),0.0774%,0.0317%,41.2891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",255000,280000,3000,False,seqs,5.7768e-04),0.0958%,0.0201%,47.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",258000,283000,3000,False,seqs,6.7725e-04),0.0449%,0.0351%,44.6484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",261000,286000,3000,False,seqs,6.0425e-04),0.0459%,0.0323%,52.4609%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",264000,289000,3000,False,seqs,6.4936e-04),0.0468%,0.0334%,47.0313%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",267000,292000,3000,False,seqs,7.3120e-04),0.1023%,0.0512%,44.4531%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",270000,295000,3000,False,seqs,7.3430e-04),0.0786%,0.0527%,43.2813%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",273000,298000,3000,False,seqs,7.4998e-04),0.0826%,0.0644%,50.2344%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",276000,301000,3000,False,seqs,5.3724e-04),0.0636%,0.0452%,47.8125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",279000,304000,3000,False,seqs,6.8253e-04),0.1176%,0.0685%,39.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",282000,307000,3000,False,seqs,9.2366e-04),0.0618%,0.0464%,37.2656%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",285000,310000,3000,False,seqs,1.0558e-03),0.1582%,0.0780%,44.7266%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",288000,313000,3000,False,seqs,7.9734e-04),0.0846%,0.0530%,38.0859%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",291000,316000,3000,False,seqs,8.7455e-04),0.1333%,0.0862%,36.1328%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",294000,319000,3000,False,seqs,7.5193e-04),0.0778%,0.0444%,34.3750%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",297000,322000,3000,False,seqs,7.9008e-04),0.0657%,0.0399%,32.1484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",300000,325000,3000,False,seqs,7.2123e-04),0.0784%,0.0525%,54.1016%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",303000,328000,3000,False,seqs,1.1556e-03),0.0656%,0.0469%,42.7734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",306000,331000,3000,False,seqs,6.2771e-04),0.1283%,0.0442%,36.6797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",309000,334000,3000,False,seqs,9.3580e-04),0.0532%,0.0411%,40.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",312000,337000,3000,False,seqs,1.0104e-03),0.0568%,0.0249%,44.8438%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",315000,340000,3000,False,seqs,9.2929e-04),0.0386%,0.0238%,40.5078%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",318000,343000,3000,False,seqs,7.5738e-04),0.0437%,0.0289%,43.7500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",321000,346000,3000,False,seqs,6.2928e-04),0.0345%,0.0235%,48.3203%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",324000,349000,3000,False,seqs,8.6904e-04),0.0421%,0.0217%,55.2734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",327000,352000,3000,False,seqs,7.1592e-04),0.0896%,0.0296%,55.6641%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",330000,355000,3000,False,seqs,7.8780e-04),0.0377%,0.0291%,54.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",333000,358000,3000,False,seqs,6.6204e-04),0.0734%,0.0302%,53.3984%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",336000,361000,3000,False,seqs,4.2917e-04),0.0626%,0.0235%,60.4688%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",339000,364000,3000,False,seqs,5.0901e-04),0.0362%,0.0249%,46.9922%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",342000,367000,3000,False,seqs,6.9559e-04),0.1034%,0.0245%,61.0937%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",345000,370000,3000,False,seqs,5.9764e-04),0.0459%,0.0322%,45.1953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",348000,373000,3000,False,seqs,8.8283e-04),0.0399%,0.0242%,44.2578%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",351000,376000,3000,False,seqs,5.8982e-04),0.0331%,0.0251%,52.5781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,weekday,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",354000,379000,3000,False,seqs,6.5729e-04),0.0337%,0.0166%,45.5859%
