model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",162000,187000,3000,False,seqs,8.3733e-04),0.0409%,0.0139%,45.7031%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",165000,190000,3000,False,seqs,8.8858e-04),0.0280%,0.0093%,48.6719%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",168000,193000,3000,False,seqs,5.0776e-04),0.0103%,0.0090%,52.6953%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",171000,196000,3000,False,seqs,5.8202e-04),0.0103%,0.0067%,44.7656%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",174000,199000,3000,False,seqs,3.3056e-04),0.0316%,0.0260%,44.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",177000,202000,3000,False,seqs,9.3736e-04),0.0872%,0.0657%,39.1797%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",180000,205000,3000,False,seqs,4.7822e-04),0.0799%,0.0267%,52.5391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",183000,208000,3000,False,seqs,7.0668e-04),0.0901%,0.0112%,46.0938%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",186000,211000,3000,False,seqs,8.2073e-04),0.0479%,0.0315%,39.0625%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",189000,214000,3000,False,seqs,1.1074e-03),0.0242%,0.0117%,45.8594%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",192000,217000,3000,False,seqs,9.3625e-04),0.0309%,0.0214%,43.3203%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",195000,220000,3000,False,seqs,1.0106e-03),0.0639%,0.0529%,47.8516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",198000,223000,3000,False,seqs,1.2015e-03),0.0722%,0.0512%,51.3672%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",201000,226000,3000,False,seqs,9.1889e-04),0.0351%,0.0244%,37.2656%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",204000,229000,3000,False,seqs,1.0656e-03),0.0514%,0.0143%,48.0469%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",207000,232000,3000,False,seqs,6.6495e-04),0.0143%,0.0080%,45.3516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close,open,high,low,volume batch_size=512 epochs=3 seq_len=100 pred_len=100",210000,235000,3000,False,seqs,1.0373e-03),0.0424%,0.0319%,39.2969%
