datetime,close,open,high,low,volume,missing
2015-08-25,1867.61,1898.08,1948.04,1867.08,,0
2015-08-26,1940.51,1872.75,1943.09,1872.75,,0
2015-08-27,1987.66,1942.77,1989.6,1942.77,,0
2015-08-28,1988.87,1986.06,1993.48,1975.19,,0
2015-08-31,1972.18,1986.73,1986.73,1965.98,,0
2015-09-01,1913.85,1970.09,1970.09,1903.07,,0
2015-09-02,1948.86,1916.52,1948.91,1916.52,,0
2015-09-03,1951.13,1950.79,1975.01,1944.72,,0
2015-09-04,1921.22,1947.76,1947.76,1911.21,,0
2015-09-08,1969.41,1927.3,1970.42,1927.3,,0
2015-09-09,1942.04,1971.45,1988.63,1937.88,,0
2015-09-10,1952.29,1941.59,1965.29,1937.19,,0
2015-09-11,1961.05,1951.45,1961.05,1939.19,,0
2015-09-14,1953.03,1963.06,1963.06,1948.27,,0
2015-09-15,1978.09,1955.1,1983.19,1954.3,,0
2015-09-16,1995.31,1978.02,1997.26,1977.93,,0
2015-09-17,1990.2,1995.33,2020.86,1986.73,,0
2015-09-18,1958.03,1989.66,1989.66,1953.45,,0
2015-09-21,1966.97,1960.84,1979.64,1955.8,,0
2015-09-22,1942.74,1961.39,1961.39,1929.22,,0
2015-09-23,1938.76,1943.24,1949.52,1932.57,,0
2015-09-24,1932.24,1934.81,1937.17,1908.92,,0
2015-09-25,1931.34,1935.93,1952.89,1921.5,,0
2015-09-28,1881.77,1929.18,1929.18,1879.21,,0
2015-09-29,1884.09,1881.9,1899.48,1871.91,,0
2015-09-30,1920.03,1887.14,1920.53,1887.14,,0
2015-10-01,1923.82,1919.65,1927.21,1900.7,,0
2015-10-02,1951.36,1921.77,1951.36,1893.7,,0
2015-10-05,1987.05,1954.33,1989.17,1954.33,,0
2015-10-06,1979.92,1986.63,1991.62,1971.99,,0
2015-10-07,1995.83,1982.34,1999.31,1976.44,,0
2015-10-08,2013.43,1994.01,2016.5,1987.53,,0
2015-10-09,2014.89,2013.73,2020.13,2007.61,,0
2015-10-12,2017.46,2015.65,2018.66,2010.55,,0
2015-10-13,2003.69,2015.0,2022.34,2001.78,,0
2015-10-14,1994.24,2003.66,2009.56,1990.73,,0
2015-10-15,2023.86,1996.47,2024.15,1996.47,,0
2015-10-16,2033.11,2024.37,2033.54,2020.46,,0
2015-10-19,2033.66,2031.73,2034.45,2022.31,,0
2015-10-20,2030.77,2033.13,2039.12,2026.61,,0
2015-10-21,2018.94,2033.47,2037.97,2017.22,,0
2015-10-22,2052.51,2021.88,2055.2,2021.88,,0
2015-10-23,2075.15,2058.19,2079.74,2058.19,,0
2015-10-26,2071.18,2075.08,2075.14,2066.53,,0
2015-10-27,2065.89,2068.75,2070.37,2058.84,,0
